direction,entry_price,won
buy,89050.6,False,Failed
hold,89069.5,
hold,89069.5,
hold,89069.5,
hold,89069.5,
hold,89069.5,
buy,89069.6,False,Failed
hold,89069.6,
hold,89069.5,
hold,89069.6,
hold,89069.5,
hold,89069.5,
hold,89069.6,
hold,89069.6,
hold,89069.5,
buy,89069.6,False,Failed
hold,89099.9,
hold,89099.3,
hold,89099.3,
hold,89099.3,
hold,89099.3,
hold,89099.3,
hold,89099.2,
hold,89099.2,
buy,89086.5,False,Failed
hold,89062.3,
hold,89057.7,
hold,89039.7,
hold,89030.2,
hold,89025.3,
hold,89028.3,
hold,89026.3,
hold,89026.3,
hold,89026.2,
hold,89033.9,
hold,89033.9,
hold,89064.3,
hold,89064.3,
hold,89070.0,
hold,89069.9,
hold,89070.0,
hold,89070.0,
hold,89070.0,
hold,89069.9,
hold,89046.4,
sell,89046.3,True,"{'info': {'orderId': '6a3dd3f9-5eb4-47d9-bb30-cf88692f77fb', 'orderLinkId': ''}, 'id': '6a3dd3f9-5eb4-47d9-bb30-cf88692f77fb', 'clientOrderId': None, 'timestamp': None, 'datetime': None, 'lastTradeTimestamp': None, 'lastUpdateTimestamp': None, 'symbol': 'BTC/USDT:USDT', 'type': None, 'timeInForce': None, 'postOnly': None, 'reduceOnly': None, 'side': None, 'price': None, 'stopPrice': None, 'triggerPrice': None, 'takeProfitPrice': None, 'stopLossPrice': None, 'amount': None, 'cost': None, 'average': None, 'filled': None, 'remaining': None, 'status': None, 'fee': None, 'trades': [], 'fees': []}"
sell,89013.0,True,"{'info': {'orderId': '9f7f1858-e7fb-4d5a-ba4b-a29057d2295d', 'orderLinkId': ''}, 'id': '9f7f1858-e7fb-4d5a-ba4b-a29057d2295d', 'clientOrderId': None, 'timestamp': None, 'datetime': None, 'lastTradeTimestamp': None, 'lastUpdateTimestamp': None, 'symbol': 'BTC/USDT:USDT', 'type': None, 'timeInForce': None, 'postOnly': None, 'reduceOnly': None, 'side': None, 'price': None, 'stopPrice': None, 'triggerPrice': None, 'takeProfitPrice': None, 'stopLossPrice': None, 'amount': None, 'cost': None, 'average': None, 'filled': None, 'remaining': None, 'status': None, 'fee': None, 'trades': [], 'fees': []}"
sell,89009.8,False,Failed
sell,89009.8,False,Failed
hold,88983.1,
hold,88965.0,
hold,88965.0,
hold,88949.1,
hold,88949.0,
hold,88944.0,
hold,88944.1,
hold,88965.1,
hold,88965.1,
hold,88973.0,
hold,88976.3,
sell,88986.1,False,Failed
hold,88986.2,
hold,89000.0,
hold,89000.0,
hold,88999.9,
hold,88999.9,
sell,88996.6,False,Failed
hold,88973.0,
hold,88973.0,
hold,88984.0,
hold,88985.9,
hold,88985.9,
sell,88966.1,False,Failed
